其乐淘淘 其乐陶陶
再接再励 再接再厉
冒天下之大不讳 冒天下之大不韪
冒然从事 贸然从事
写作题纲 写作提纲
军事训炼 军事训练
军事部暑 军事部署
冠勉堂皇 冠冕堂皇
冲耳不闻 充耳不闻
决对服从 绝对服从
决无仅有 绝无仅有
冷不妨 冷不防
凋虫小技 雕虫小技
凑和 凑合
凤冠霞披 凤冠霞帔
凤毛鳞角 凤毛麟角
凭心而论 平心而论
凭添 平添
凶相必露 凶相毕露
出人投地 出人头地
出奇不意 出其不意
出奇致胜 出奇制胜
出类拔粹 出类拔萃
击浊扬清 激浊扬清
分庭抗理 分庭抗礼
分道扬标 分道扬镳
切搓琢磨 切搓磋磨
划地为牢 画地为牢
列出题纲 列出提纲
刚腹自用 刚愎自用
利害悠关 利害攸关
别出心才 别出心裁
别出新裁 别出心裁
到处传颂 到处传诵
刷费苦心 煞费苦心
刻划人物 刻画人物
刻勤刻俭 克勤克俭
刻己奉公 克己奉公
剌剌不休 刺刺不休
前倨后躬 前倨后恭
前扑后继 前仆后继,前赴后继
前踞后恭 前倨后恭
劈谣 辟谣
功亏一匮 功亏一篑
功亏一溃 功亏一篑
功亏一蒉 功亏一篑
动则得咎 动辄得咎
动辙得咎 动辄得咎
助纣为谑 助纣为虐
助肘为虐 助纣为虐
励兵秣马 厉兵秣马
励行节约 厉行节约
劳动锻练 劳动锻炼
势不可挡 势不可当
勘平叛乱 戡平叛乱
募然 蓦然
募然回首 蓦然回首
化学反映 化学反应
千均一发 千钧一发
千头万序 千头万绪
千钓一发 　千钧一发
半途而费 半途而废
协从不问 胁从不问
卑却 卑怯
卑恭屈膝 卑躬屈膝
卑躬曲膝 卑躬屈膝
卓智多谋 足智多谋
危如磊卵 危如累卵
危言悚听 危言耸听
即然如此 既然如此
历尽坚辛 历尽艰辛
历精图治 励精图治
厉厉在目 历历在目
厉害得失 利害得失
厉精图治 励精图治
压诈平民 压榨平民
厌厌欲睡 恹恹欲睡
原子幅射 原子辐射
原形必露 原形毕露
原气大伤 元气大伤
原物必还 原物璧还
反云覆雨 翻云覆雨
反工重来 返工重来
反应意见 反映意见
反来复去 反来覆去
发号司令 发号施令
发愤忘食 发奋忘食
发扬广大 发扬光大
发韧 发轫
受与奖章 授与奖章
受予勋章 授予勋章
受益非浅 受益匪浅
变换莫测 变幻莫测
变本加利 变本加厉
口干舌躁 口干舌燥
口株笔伐 口诛笔伐
口蜜腹箭 口蜜腹剑
古今杂揉 古今杂糅
可做篮本 可做蓝本
可望不可及 可望不可即
可资借戒 可资借鉴
史无前列 史无前例
司空见怪 司空见惯
叹为观之 叹为观止
吁寒问暖 嘘寒问暖
吃里爬外 吃里扒外
各书己见 各抒己见
各施其职 各司其职
各行其事 各行其是
合盘托出 和盘托出
合衷共济 和衷共济
吉详 吉祥
吊虎离山 调虎离山
同等学历 同等学力
名信片 明信片
名列前矛 名列前茅
名哲保身 明哲保身
名珠暗投 明珠暗投
名落深山 名落孙山
名门旺族 名门望族
名闻暇迩 名闻遐迩
后发治人 后发制人
向偶而泣 向隅而泣
含糊其词 含糊其辞
含蓄蕴籍 含蓄蕴藉
含辛如苦 含辛茹苦
吭害好人 坑害好人
